country,Australia,Belgium,Denmark,Finland,France,Germany,Italy,Japan,Netherlands,Norway,Portugal,Sweden,Switzerland,UK,USA
Australia,1.0,0.4930099422869265,0.859484277093794,0.7660080488730494,0.7421305074885207,0.6750796071687586,0.508441082177336,0.5422395125221898,0.7182664463248244,0.7859824381424735,0.2056242607888894,0.9223120302265913,0.6816497837696359,0.845345470328835,0.834057944438878
Belgium,0.4930099422869265,1.0,0.664373513715867,0.7391325467663274,0.7336728965311385,0.7498053393455459,0.7758118938762161,0.4553566952560863,0.8029655146766839,0.5318060922220978,0.7431694013334466,0.5188764677400128,0.6234645625313552,0.5861583460282361,0.3492344974512321
Denmark,0.859484277093794,0.664373513715867,1.0,0.8633402469361475,0.8330416399056243,0.8633585912044035,0.6194167715995039,0.6205813952376285,0.8841108929761933,0.8376139967087741,0.275358907319216,0.9043430358179149,0.7823074567968656,0.8886841626198873,0.7659605859873544
Finland,0.7660080488730494,0.7391325467663274,0.8633402469361475,1.0,0.7779706976310408,0.8615162118199671,0.66509930419603,0.6256722305723638,0.8859395664673383,0.8620135242756004,0.34227512469188687,0.8160119942058042,0.843245649659806,0.8236470866740041,0.640014774558396
France,0.7421305074885207,0.7336728965311385,0.8330416399056243,0.7779706976310408,1.0,0.7130946373615084,0.7358110486621227,0.47061412826753185,0.7962352120600804,0.6938805262977646,0.5424280003588148,0.7537951672225645,0.6949166675255946,0.7334333186593899,0.6139381594249512
Germany,0.6750796071687586,0.7498053393455459,0.8633585912044035,0.8615162118199671,0.7130946373615084,1.0,0.5813230589248204,0.6644812731291709,0.9597577198509616,0.6850350770741458,0.2853961404864952,0.7388250717441178,0.8804333936891402,0.8351473043869267,0.6756692706530114
Italy,0.508441082177336,0.7758118938762161,0.6194167715995039,0.66509930419603,0.7358110486621227,0.5813230589248204,1.0,0.36384808751551917,0.59191814412286,0.5201214062610178,0.6625714636646486,0.5097412117773298,0.42923022169855896,0.46080598267678097,0.2611484920184407
Japan,0.5422395125221898,0.4553566952560863,0.6205813952376285,0.6256722305723638,0.47061412826753185,0.6644812731291709,0.36384808751551917,1.0,0.6541187901027683,0.46464339070103705,0.12598970187446754,0.5495607234318538,0.5941183039053903,0.6295432355493945,0.4102824152399516
Netherlands,0.7182664463248244,0.8029655146766839,0.8841108929761933,0.8859395664673383,0.7962352120600804,0.9597577198509616,0.59191814412286,0.6541187901027683,1.0,0.7237791162843634,0.373321027630115,0.7614477040620585,0.8663912504351765,0.8760738035086134,0.7202108937787158
Norway,0.7859824381424735,0.5318060922220978,0.8376139967087741,0.8620135242756004,0.6938805262977646,0.6850350770741458,0.5201214062610178,0.46464339070103705,0.7237791162843634,1.0,0.15926073234417953,0.7983102378751057,0.6914007771083831,0.7719965168026356,0.6932234754570571
Portugal,0.2056242607888894,0.7431694013334466,0.275358907319216,0.34227512469188687,0.5424280003588148,0.2853961404864952,0.6625714636646486,0.12598970187446754,0.373321027630115,0.15926073234417953,1.0,0.15603626555305034,0.18422079139588654,0.12000910486107459,0.04839438327529817
Sweden,0.9223120302265913,0.5188764677400128,0.9043430358179149,0.8160119942058042,0.7537951672225645,0.7388250717441178,0.5097412117773298,0.5495607234318538,0.7614477040620585,0.7983102378751057,0.15603626555305034,1.0,0.7086651093926973,0.8183202991085964,0.7444759470312747
Switzerland,0.6816497837696359,0.6234645625313552,0.7823074567968656,0.843245649659806,0.6949166675255946,0.8804333936891402,0.42923022169855896,0.5941183039053903,0.8663912504351765,0.6914007771083831,0.18422079139588654,0.7086651093926973,1.0,0.8292570100788602,0.7071746453368402
UK,0.845345470328835,0.5861583460282361,0.8886841626198873,0.8236470866740041,0.7334333186593899,0.8351473043869267,0.46080598267678097,0.6295432355493945,0.8760738035086134,0.7719965168026356,0.12000910486107459,0.8183202991085964,0.8292570100788602,1.0,0.820070401888705
USA,0.834057944438878,0.3492344974512321,0.7659605859873544,0.640014774558396,0.6139381594249512,0.6756692706530114,0.2611484920184407,0.4102824152399516,0.7202108937787158,0.6932234754570571,0.04839438327529817,0.7444759470312747,0.7071746453368402,0.820070401888705,1.0
