year,strategy_return,strategy_index,country_1,country_2,country_3,benchmark_return,benchmark_index
1950,-0.015341593315967121,0.9846584066840329,Finland,France,UK,-0.00073913,0.99926087
1951,0.02770431380381616,1.011937692172373,France,Finland,UK,-0.037259258,0.9620291514353655
1952,0.10808489603952412,1.1213128724293,Finland,Belgium,France,0.011251968,0.9728538726623834
1953,0.03518589413040241,1.1607672684456547,Finland,Belgium,France,0.035999998,1.0078766101325216
1954,0.05139864526024255,1.2204291335061936,Finland,Belgium,France,0.06668254,1.0750843825027478
1955,0.04371461662418148,1.273779725194399,Finland,Belgium,France,-0.012167939,1.0620028213166017
1956,0.009715935318674568,1.2861556866146269,Finland,Belgium,France,-0.057301588,1.0011483731946802
1957,0.0076214894695801165,1.2959581086364007,Finland,Belgium,Germany,0.07747826,1.0787156071516346
1958,0.156352043035846,1.4985838066105728,Finland,Germany,Belgium,-0.051333331,1.0233415418348537
1959,0.08678567313572202,1.628639411017564,Finland,Belgium,Germany,-0.025636364,0.9971067855720541
1960,0.05095250883215134,1.7116226749918262,Finland,Norway,Belgium,0.131378636,1.128105315006855
1961,0.05163186669887518,1.799996948785776,Finland,Germany,Belgium,0.011214286,1.1407562106474618
1962,0.21093043539622358,2.179671088905034,Finland,Germany,Norway,0.076697253,1.2282490783468116
1963,0.09898908381755615,2.3954347330193584,Finland,Germany,Norway,-0.006247787,1.2205752397223546
1964,0.04104077273584746,2.4937452255007613,Finland,Italy,Belgium,0.050259262,1.2819204504862731
1965,0.09127639988913262,2.721365311925184,Finland,Italy,Germany,-0.00487156,1.2756754980965022
1966,0.05045103952189344,2.858661020830631,Finland,Italy,Germany,0.044,1.3318052200127484
1967,0.0828713522313505,3.0955621251979184,Finland,Germany,Italy,-0.051153846,1.26367826088622
1968,0.17816769773315788,3.647091302234393,Germany,Italy,Finland,-0.001191489,1.262172602138835
1969,0.06257009781109454,3.8752901617411912,Finland,Germany,Italy,-0.05535955,1.1922992948621
1970,0.07948139840547672,4.183303643023367,Finland,Norway,UK,0.141949371,1.3615454298115186
1971,0.1799010809449041,4.935884490324027,Switzerland,UK,Italy,0.179647058,1.6061430606105034
1972,0.015459213343820995,5.012189381700403,Netherlands,UK,Germany,0.055526312,1.695326261310597
1973,0.018552054922194472,5.105175794390149,Denmark,Norway,Switzerland,-0.038333334,1.6303387534968066
1974,-0.027658762198812775,4.963972951109977,UK,Finland,Norway,0.025545454,1.6719864971286764
1975,0.23422638327268708,6.126666382111913,Denmark,Netherlands,UK,0.065095238,1.780824856092054
1976,0.11755495228368487,6.846886356319136,Finland,Germany,Switzerland,0.173385546,2.0895941460959464
1977,0.2470356563611725,8.53831142138279,UK,Netherlands,Finland,0.014054945,2.118963276891647
1978,0.07456574792405447,9.174976998526695,UK,Sweden,Switzerland,-0.029651163,2.0561335513775183
1979,0.04528012124748253,9.590421069462847,Denmark,Switzerland,Japan,-0.015896104,2.023449038606932
1980,0.19182919049623354,11.430143779735927,Portugal,Norway,Switzerland,-0.031434782,1.9598423591902137
1981,0.12450733954928753,12.853280572416685,Portugal,Norway,Denmark,-0.000666667,1.9585357969641395
1982,0.1785428430324119,15.148141828109225,Norway,Portugal,Switzerland,0.363415122,2.6702973225592292
1983,0.1306637668594857,17.127455100291712,Norway,Netherlands,Australia,0.012692307,2.704189555958429
1984,0.11036216460999221,19.017678119420356,Spain,Norway,Denmark,0.149898306,3.10954298949949
1985,0.15987232089269526,22.058078458362317,Norway,Switzerland,USA,0.293327868,4.021658605063722
1986,0.11642752165983394,24.62624586584761,Norway,Switzerland,Germany,0.259666681,5.065949347155709
1987,0.08667057471820352,26.760616748192408,Switzerland,Sweden,Norway,-0.031142857,4.908181211067996
1988,0.1365807002355625,30.41560052239605,Germany,Sweden,Norway,0.074666664,5.274658728405923
1989,0.0695322487148573,32.530465622731036,Sweden,Norway,Germany,0.182594582,6.237782834111854
1990,0.11937905837492763,36.413921977270626,Sweden,Norway,Italy,0.054308642,6.576548348923381
1991,0.1853699481853372,43.163968807422194,Sweden,USA,Norway,0.170607582,7.69855736063929
1992,0.09849883579073014,47.41556948306067,Finland,USA,Australia,0.072999999,8.260552040267402
1993,0.24115684750059943,58.85015874204121,Sweden,Finland,USA,0.154395357,9.535942921541567
1994,-0.15500329598796384,49.72819016760994,Sweden,Australia,Finland,-0.075784944,8.813262021245343
1995,0.28495987061461864,63.89872880367121,Finland,Sweden,Norway,0.291500002,11.382327918064885
1996,0.1829239608943338,75.5873373725516,Sweden,Finland,Denmark,-0.013164949,11.232480151522285
1997,0.124126803974387,84.96975198154017,Sweden,Denmark,Germany,0.143777788,12.847461301462063
1998,0.20750415541677475,102.60132860244248,Sweden,Switzerland,Finland,0.120855674,14.400149896239178
1999,-0.014336151747543519,101.13042038609828,Switzerland,Spain,Belgium,-0.092631064,13.066248689591053
2000,0.0905154425805111,110.2842851456991,Japan,Norway,Spain,0.203363627,15.723448414390285
